Municipio;valor_2013;valor_2014;valor_2015;valor_2016;valor_2017;valor_2018;valor_2019;valor_2020;valor_2021;valor_2022;valor_Total;valor2_2013;valor2_2014;valor2_2015;valor2_2016;valor2_2017;valor2_2018;valor2_2019;valor2_2020;valor2_2021;valor2_2022;valor2_Total;valor3_2013;valor3_2014;valor3_2015;valor3_2016;valor3_2017;valor3_2018;valor3_2019;valor3_2020;valor3_2021;valor3_2022;valor3_Total;valor4_2013;valor4_2014;valor4_2015;valor4_2016;valor4_2017;valor4_2018;valor4_2019;valor4_2020;valor4_2021;valor4_2022;valor4_Total;valor5_2013;valor5_2014;valor5_2015;valor5_2016;valor5_2017;valor5_2018;valor5_2019;valor5_2020;valor5_2021;valor5_2022;valor5_Total;AIH_2013;AIH_2014;AIH_2015;AIH_2016;AIH_2017;AIH_2018;AIH_2019;AIH_2020;AIH_2021;AIH_2022;AIH_Total;AIH1_2013;AIH1_2014;AIH1_2015;AIH1_2016;AIH1_2017;AIH1_2018;AIH1_2019;AIH1_2020;AIH1_2021;AIH1_2022;AIH1_Total;AIH2_2013;AIH2_2014;AIH2_2015;AIH2_2016;AIH2_2017;AIH2_2018;AIH2_2019;AIH2_2020;AIH2_2021;AIH2_2022;AIH2_Total;AIH3_2013;AIH3_2014;AIH3_2015;AIH3_2016;AIH3_2017;AIH3_2018;AIH3_2019;AIH3_2020;AIH3_2021;AIH3_2022;AIH3_Total;AIH4_2013;AIH4_2014;AIH4_2015;AIH4_2016;AIH4_2017;AIH4_2018;AIH4_2019;AIH4_2020;AIH4_2021;AIH4_2022;AIH4_Total;AIH5_2013;AIH5_2014;AIH5_2015;AIH5_2016;AIH5_2017;AIH5_2018;AIH5_2019;AIH5_2020;AIH5_2021;AIH5_2022;AIH5_Total;obito_2013;obito_2014;obito_2015;obito_2016;obito_2017;obito_2018;obito_2019;obito_2020;obito_2021;obito_2022;obito_Total;mortalidade_2013;mortalidade_2014;mortalidade_2015;mortalidade_2016;mortalidade_2017;mortalidade_2018;mortalidade_2019;mortalidade_2020;mortalidade_2021;mortalidade_2022;mortalidade_Total;dias_2013;dias_2014;dias_2015;dias_2016;dias_2017;dias_2018;dias_2019;dias_2020;dias_2021;dias_2022;dias_Total
313900 MACHADO;520218;652840.93;684200.5;604572.86;739417.13;833717.36;749826.69;751883.11;907147.98;1075235.49;7519060.05;188.78;;;;;;;;;;188.78;327812.58;439729.43;467162.53;414084.95;482778.99;605266.19;524646.08;487376.55;656960.44;722597.76;5128415.5;192216.64;213111.5;217037.97;190487.91;256638.14;228451.17;225180.61;264506.56;250187.54;352637.73;2390455.77;;;;;;;;;;;;1212;1513;1606;1499;1784;1925;1756;1683;1531;1900;16409;1;;;;;;;;;;1;1;;;;;;;;;;1;872;1127;1232;1155;1309;1518;1339;1254;1164;1371;12341;339;386;374;344;475;407;417;429;367;529;4067;;;;;;;;;;;;61;46;66;60;84;87;82;74;84;90;734;5.03;3.04;4.11;4;4.71;4.52;4.67;4.4;5.49;4.74;4.47;3928;4909;5095;4780;5190;6733;5986;5725;4365;5804;52515
313910 MADRE DE DEUS DE MINAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313920 MALACACHETA;862784.57;895051.05;869170.2;823316.84;800097.78;766346.68;853692.86;597661.75;987814.74;1185130.74;8641067.21;;;;;;311.95;;;;270.23;582.18;676324.54;683404.68;677396.29;575845.68;563990.12;532014;641430.47;500045.38;709601.86;719532.33;6279585.35;186460.03;211646.37;191773.91;247471.16;236107.66;234020.73;212262.39;97616.37;278212.88;465328.18;2360899.68;;;;;;;;;;;;1717;1861;1875;1718;1705;1752;2149;1550;2179;2770;19276;;;;;;2;;;;1;3;;;;;;2;;;;1;3;1388;1498;1551;1294;1300;1326;1773;1374;1668;1825;14997;329;363;324;424;405;424;376;176;511;944;4276;;;;;;;;;;;;70;74;110;111;93;102;91;96;133;152;1032;4.08;3.98;5.87;6.46;5.45;5.82;4.23;6.19;6.1;5.49;5.35;7251;8427;7754;6031;5807;5887;6398;5219;8268;9433;70475
313925 MAMONAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313930 MANGA;1029433.01;954596.73;1160668.3;1216445.91;1022323.04;1008908.6;987863.62;752782.4;1135897.99;1461942.75;10730862.35;;;;;;343.08;343.08;424.98;;;1111.14;561236.4;465206.74;489125.02;531162.48;560227.71;519884.15;549546.61;604677.71;828011.76;698912.93;5807991.51;468196.61;489389.99;671543.28;685283.43;462095.33;488681.37;437973.93;147679.71;307886.23;763029.82;4921759.7;;;;;;;;;;;;2210;2064;2387;2425;2003;2031;2055;1545;1731;3060;21511;;;;;;3;3;3;;;9;;;;;;3;3;3;;;9;1137;971;1040;1108;1116;1114;1211;1265;1263;1688;11913;1073;1093;1347;1317;887;914;841;277;468;1372;9589;;;;;;;;;;;;49;52;72;69;65;57;50;69;48;61;592;2.22;2.52;3.02;2.85;3.25;2.81;2.43;4.47;2.77;1.99;2.75;5683;4920;5596;5117;5221;5488;5733;4781;4640;6237;53416
313940 MANHUACU;6709527.4;7247029.8;7485550.01;8643724;8118199.09;8426058.72;9149303.5;15272800.34;28491808.92;15435316.33;114979318.1;138.36;146.36;2053.28;;;;;;781.45;;3119.45;2576397.38;2899039.56;3021130.94;3133417.88;3296767.25;3357043.83;3167477.67;9649605.85;21459259.34;6996989.38;59557129.08;4132991.66;4343841.74;4462365.79;5510306.12;4819296.84;5069014.89;5976465.83;5623194.49;7031768.13;8432736.95;55401982.44;;4002.14;;;2135;;5360;;;5590;17087.14;7775;8344;7974;8534;8668;9557;10016;11312;13530;11118;96828;1;1;2;;;;;;2;;6;1;1;2;;;;;;2;;6;3461;3902;3993;4163;4180;4532;4542;7020;8670;5616;50079;4313;4438;3979;4371;4487;5025;5472;4292;4858;5500;46735;;3;;;1;;2;;;2;8;330;301;284;262;311;291;273;507;768;550;3877;4.24;3.61;3.56;3.07;3.59;3.04;2.73;4.48;5.68;4.95;4;38452;41984;40482;42727;40347;42327;41232;46933;58966;49746;443196
313950 MANHUMIRIM;2649881.71;2722633.32;2609897.73;2483954.46;2524708.56;2327355.98;2520942.58;2620144.32;3542077.29;4095587.53;28097183.48;;;;114.36;;;;;;;114.36;2022024.46;1983171.65;1978371.16;1799297.53;1907456.18;1736527.41;1852658.95;2041502.46;3213521.45;3296526.54;21831057.79;627857.25;739461.67;631526.57;684542.57;617252.38;590828.57;668283.63;578641.86;328555.84;799060.99;6266011.33;;;;;;;;;;;;2601;2649;2412;2176;2225;2210;2478;2170;2489;2865;24275;;;;1;;;;;;;1;;;;1;;;;;;;1;1613;1618;1534;1280;1372;1349;1437;1366;2072;1945;15586;988;1031;878;895;853;861;1041;804;417;920;8688;;;;;;;;;;;;198;189;166;195;185;165;187;181;184;214;1864;7.61;7.13;6.88;8.96;8.31;7.47;7.55;8.34;7.39;7.47;7.68;10860;11646;11334;9428;9545;9036;10041;9855;12036;12607;106388
313960 MANTENA;1047955.43;817138.59;1087531.83;999192.81;1048240.76;1045442.5;1116988.81;889230.52;2463632.78;1073908.28;11589262.31;;;;;;;;;;;;795793.8;578252.69;758851.26;696815.87;801628.97;720772.05;758107.37;656526.49;2177618.69;761315.29;8705682.48;252161.63;238885.9;328680.57;302376.94;246611.79;324670.45;358881.44;232704.03;286014.09;312592.99;2883579.83;;;;;;;;;;;;2279;1802;2489;2309;2404;2360;2455;1747;2105;1831;21781;;;;;;;;;;;;;;;;;;;;;;;1770;1352;1864;1710;1947;1747;1804;1303;1605;1274;16376;509;450;625;599;457;613;651;444;500;557;5405;;;;;;;;;;;;52;38;50;52;79;72;90;55;112;70;670;2.28;2.11;2.01;2.25;3.29;3.05;3.67;3.15;5.32;3.82;3.08;7332;5683;7368;6932;7733;7829;8995;5999;8372;6606;72849
313970 MARAVILHAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313980 MAR DE ESPANHA;371087.44;349703.41;328082.06;318534.69;348046.25;301487.01;317717.19;266656.01;245127.5;218541.86;3064983.42;;;;;;;;;;;;322746.96;312700.95;296935.32;282932.87;318536.52;278433.49;298740.32;255870.66;233082.17;199316.76;2799296.02;48340.48;37002.46;31146.74;35601.82;29509.73;23053.52;18976.87;10785.35;12045.33;19225.1;265687.4;;;;;;;;;;;;959;861;870;814;910;817;895;729;616;519;7990;;;;;;;;;;;;;;;;;;;;;;;862;783;798;745;852;769;854;704;590;478;7435;97;78;72;69;58;48;41;25;26;41;555;;;;;;;;;;;;57;69;56;49;71;68;61;63;68;57;619;5.94;8.01;6.44;6.02;7.8;8.32;6.82;8.64;11.04;10.98;7.75;4482;4450;4700;4411;5195;4543;4714;3309;3103;3323;42230
313990 MARIA DA FE;120021.93;90181.02;77878.52;102354.06;133888.89;154266.04;137734.42;77296.76;269466.36;156006.69;1319094.69;;;;;;;;;;;;120021.93;90181.02;77878.52;102354.06;133888.89;154266.04;137734.42;77296.76;269466.36;156006.69;1319094.69;;;;;;;;;;;;;;;;;;;;;;;217;187;153;185;236;277;244;149;317;286;2251;;;;;;;;;;;;;;;;;;;;;;;217;187;153;185;236;277;244;149;317;286;2251;;;;;;;;;;;;;;;;;;;;;;;12;16;10;8;7;16;6;11;18;12;116;5.53;8.56;6.54;4.32;2.97;5.78;2.46;7.38;5.68;4.2;5.15;1062;833;715;952;1308;1395;1305;669;1658;1486;11383
314000 MARIANA;1441797.83;1689913.91;1511396.76;1475455.83;1721038.27;1709782.66;1698070.5;1478385.56;1820148.32;1792296.03;16338285.67;;;;;;;;;;;;932829.62;1071321.59;1047263.22;966096.65;1134332.18;1181637.41;1245034.53;1119208.34;1426367.67;1225236.78;11349327.99;508968.21;618592.32;464133.54;509359.18;586706.09;528145.25;453035.97;359177.22;393780.65;567059.25;4988957.68;;;;;;;;;;;;3243;3669;3213;2997;3327;3617;3517;2669;2553;2663;31468;;;;;;;;;;;;;;;;;;;;;;;2479;2785;2445;2099;2287;2670;2736;2118;2018;1876;23513;764;884;768;898;1040;947;781;551;535;787;7955;;;;;;;;;;;;133;117;103;98;137;144;112;123;139;140;1246;4.1;3.19;3.21;3.27;4.12;3.98;3.18;4.61;5.44;5.26;3.96;13088;13692;12470;10338;12908;14364;15743;11474;12247;12390;128714
314010 MARILAC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314015 MARIO CAMPOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314020 MARIPA DE MINAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314030 MARLIERIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314040 MARMELOPOLIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314050 MARTINHO CAMPOS;148766.43;148584.71;127808.59;140440.17;141159.52;118850.41;116650.84;90761.63;79789.15;105342.07;1218153.52;;;;;;;;;;;;148766.43;148584.71;127808.59;140440.17;141159.52;118850.41;116650.84;90761.63;79789.15;105342.07;1218153.52;;;;;;;;;;;;;;;;;;;;;;;346;347;297;341;320;264;274;217;188;227;2821;;;;;;;;;;;;;;;;;;;;;;;346;347;297;341;320;264;274;217;188;227;2821;;;;;;;;;;;;;;;;;;;;;;;18;26;34;31;29;35;21;27;29;25;275;5.2;7.49;11.45;9.09;9.06;13.26;7.66;12.44;15.43;11.01;9.75;1346;1344;1124;1439;1450;1356;1259;1203;1374;1360;13255
314053 MARTINS SOARES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314055 MATA VERDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314060 MATERLANDIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314070 MATEUS LEME;981689.11;1367557.69;1102512.54;831210.37;824973.06;867157.23;748966.27;578152.67;766152.29;700515.66;8768886.89;;;;;;;;;;;;605359.93;706620.92;853558.32;698582.71;648424.71;809101.01;661580.59;544579.2;737020.95;511533.98;6776362.32;376329.18;660936.77;248954.22;132627.66;176548.35;58056.22;87385.68;33573.47;29131.34;188981.68;1992524.57;;;;;;;;;;;;1450;1701;1502;1123;1066;1079;1047;769;802;927;11466;;;;;;;;;;;;;;;;;;;;;;;891;981;1115;911;855;1013;900;701;763;646;8776;559;720;387;212;211;66;147;68;39;281;2690;;;;;;;;;;;;53;68;63;49;60;64;46;37;66;75;581;3.66;4;4.19;4.36;5.63;5.93;4.39;4.81;8.23;8.09;5.07;6710;8097;8575;6726;6301;7443;6406;4187;4402;4985;63832
314080 MATIAS BARBOSA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314085 MATIAS CARDOSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314090 MATIPO;376884.17;283379.59;219787.8;276406.16;445419.64;374399.25;373140.2;641534.53;805524.57;587661.78;4384137.69;;;;;;;;;;;;371182.18;276700.85;212450.83;276263.32;386475.72;279600.8;317527.19;518322.65;675525.97;456641.78;3770691.29;5701.99;6678.74;7336.97;142.84;58943.92;94798.45;55613.01;123211.88;129998.6;131020;613446.4;;;;;;;;;;;;842;697;575;658;1032;971;944;1716;1465;1247;10147;;;;;;;;;;;;;;;;;;;;;;;829;678;560;657;911;765;792;1419;1215;1021;8847;13;19;15;1;121;206;152;297;250;226;1300;;;;;;;;;;;;12;19;19;23;22;22;27;27;50;78;299;1.43;2.73;3.3;3.5;2.13;2.27;2.86;1.57;3.41;6.26;2.95;2808;1998;1885;2145;3462;3040;3209;4100;5556;5749;33952
314100 MATO VERDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314110 MATOZINHOS;136168.05;410725.65;396016.6;444914.31;462791.67;486230.38;482712.23;314188.34;383745.87;392749.27;3910242.37;;;;;;;;;;;;100610.45;254266.25;205392.42;206374.92;216013.91;243754.56;254962.9;191513.06;262181.37;240554.3;2175624.14;35557.6;156459.4;190624.18;238539.39;246777.76;242475.82;227749.33;122675.28;121564.5;152194.97;1734618.23;;;;;;;;;;;;281;865;837;949;974;964;1019;663;780;792;8124;;;;;;;;;;;;;;;;;;;;;;;215;558;463;478;501;521;582;432;557;548;4855;66;307;374;471;473;443;437;231;223;244;3269;;;;;;;;;;;;10;24;16;12;25;28;26;20;48;25;234;3.56;2.77;1.91;1.26;2.57;2.9;2.55;3.02;6.15;3.16;2.88;1064;3335;2646;2936;3018;3236;2885;1957;2416;2275;25768
314120 MATUTINA;20413;22488.72;19653.55;19792.02;23508.7;11514.43;16135.79;2165.57;18617.77;34896.36;189185.91;;;;;;;;;;;;20413;22488.72;19653.55;19792.02;23508.7;11514.43;16135.79;2165.57;18617.77;34896.36;189185.91;;;;;;;;;;;;;;;;;;;;;;;47;46;48;51;52;31;41;6;34;75;431;;;;;;;;;;;;;;;;;;;;;;;47;46;48;51;52;31;41;6;34;75;431;;;;;;;;;;;;;;;;;;;;;;;3;1;3;;5;1;3;;3;5;24;6.38;2.17;6.25;;9.62;3.23;7.32;;8.82;6.67;5.57;188;193;167;203;205;96;195;37;170;336;1790
314130 MEDEIROS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314140 MEDINA;617779.77;602110.9;633593.24;661775.88;788727.71;817040.66;1360541.23;811454.81;1097677.5;1172436.46;8563138.16;;;;;;;;;;;;498692.84;493788.88;522253.2;526903.46;650699.3;656000.62;827647.57;641589.97;848497.4;631173.63;6297246.87;119086.93;108322.02;111340.04;134872.42;138028.41;161040.04;532893.66;169864.84;249180.1;541262.83;2265891.29;;;;;;;;;;;;1552;1497;1508;1545;1796;1771;2525;1713;1824;2166;17897;;;;;;;;;;;;;;;;;;;;;;;1321;1265;1274;1277;1520;1485;1869;1441;1460;1326;14238;231;232;234;268;276;286;656;272;364;840;3659;;;;;;;;;;;;71;55;60;69;69;67;92;54;88;89;714;4.57;3.67;3.98;4.47;3.84;3.78;3.64;3.15;4.82;4.11;3.99;4279;4677;4737;4590;4663;4800;6603;4873;6071;6623;51916
314150 MENDES PIMENTEL;259390.01;266404.04;220699.47;221907.46;222152.22;222017.81;222898.27;231371.26;236047.24;219692.28;2322580.06;;;;;;;;;;;;249423.6;250032.14;197778.81;196258.15;188316.96;202371.53;221261.08;225368.23;227050.66;187947.1;2145808.26;9966.41;16371.9;22920.66;25649.31;33835.26;19646.28;1637.19;6003.03;8996.58;31745.18;176771.8;;;;;;;;;;;;480;515;418;413;417;407;402;397;380;376;4205;;;;;;;;;;;;;;;;;;;;;;;462;485;376;366;355;371;399;386;364;316;3880;18;30;42;47;62;36;3;11;16;60;325;;;;;;;;;;;;;;;;;;;;5;2;7;;;;;;;;;1.32;0.53;0.17;1667;1783;1430;1354;1520;1423;1636;1477;1267;1023;14580
314160 MERCES;271495.23;268626.54;266407.97;260751.95;268708.66;264705.69;271021.8;200400.77;252634.21;253494.27;2578247.09;;;;;;;;;;;;269797.46;263248.49;266143;256765.82;266315.68;262521.1;271021.8;200400.77;240308.66;238955.63;2535478.41;1697.77;5378.05;264.97;3986.13;2392.98;2184.59;;;12325.55;14538.64;42768.68;;;;;;;;;;;;601;594;589;597;646;631;676;461;447;529;5771;;;;;;;;;;;;;;;;;;;;;;;598;585;588;591;641;628;676;461;427;506;5701;3;9;1;6;5;3;;;20;23;70;;;;;;;;;;;;26;20;25;31;28;23;31;33;40;36;293;4.33;3.37;4.24;5.19;4.33;3.65;4.59;7.16;8.95;6.81;5.08;2162;2322;2398;2463;2197;1942;1896;1273;1328;1610;19591
314170 MESQUITA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314180 MINAS NOVAS;1189333.98;1277062.93;1187149.77;1316518.05;1315037.75;1372744.31;1566047.47;1121528.65;1198809.34;1565033.43;13109265.68;;;;;;;;;;;;898688.28;847540.93;876670.25;1041543.47;981253.83;1034974.24;1173832.99;876914.82;954978.51;1220482.27;9906879.59;290645.7;429522;310479.52;274974.58;333783.92;337770.07;392214.48;244613.83;243830.83;344551.16;3202386.09;;;;;;;;;;;;2538;2619;2744;3241;3177;3468;3843;2807;2626;3746;30809;;;;;;;;;;;;;;;;;;;;;;;2060;2102;2196;2710;2567;2845;3093;2348;2228;3077;25226;478;517;548;531;610;623;750;459;398;669;5583;;;;;;;;;;;;66;70;76;79;75;59;71;60;77;80;713;2.6;2.67;2.77;2.44;2.36;1.7;1.85;2.14;2.93;2.14;2.31;8093;7982;8077;8791;8151;8855;9522;7985;7667;11318;86441
314190 MINDURI;22261.73;25008.94;30790.24;23373.44;31357.65;21799.77;34390.58;36331.42;24047.37;12504.66;261865.8;;;;;;;;;;;;21550.85;25008.94;30790.24;23373.44;31357.65;21799.77;34390.58;36331.42;24047.37;12504.66;261154.92;710.88;;;;;;;;;;710.88;;;;;;;;;;;;68;64;75;64;76;56;80;85;49;22;639;;;;;;;;;;;;;;;;;;;;;;;66;64;75;64;76;56;80;85;49;22;637;2;;;;;;;;;;2;;;;;;;;;;;;;4;6;1;3;1;8;9;3;2;37;;6.25;8;1.56;3.95;1.79;10;10.59;6.12;9.09;5.79;251;261;333;306;278;238;454;351;191;86;2749
314200 MIRABELA;886227.95;904699.55;855689.2;776493.44;663291.66;685177.13;795348.99;427263.31;549425.01;513514.74;7057130.98;;;;;;;;;;;;688010.41;715785.89;812378.56;681840.63;508686.21;561855.97;660630.92;378085.46;540139.99;507275.38;6054689.42;198217.54;188913.66;43310.64;94652.81;154605.45;123321.16;134718.07;49177.85;9285.02;6239.36;1002441.56;;;;;;;;;;;;1504;1295;1131;1005;1181;1252;1283;771;900;975;11297;;;;;;;;;;;;;;;;;;;;;;;1180;995;1063;851;925;1050;1055;691;878;963;9651;324;300;68;154;256;202;228;80;22;12;1646;;;;;;;;;;;;13;3;1;1;24;26;14;22;24;59;187;0.86;0.23;0.09;0.1;2.03;2.08;1.09;2.85;2.67;6.05;1.66;5125;4900;4251;3735;4372;5087;4513;1883;2536;3278;39680
314210 MIRADOURO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314220 MIRAI;356029.77;357414.58;338910.08;311488.92;339543.87;295387.38;322273.44;293276.84;399636.22;386764.32;3400725.42;;;;;;;;;;;;316778.81;326088.62;311552.16;282932.54;290819.62;247965.69;311006.08;280020.92;391541.75;328326.72;3087032.91;39250.96;31325.96;27357.92;28556.38;48724.25;47421.69;11267.36;13255.92;8094.47;58437.6;313692.51;;;;;;;;;;;;776;783;738;685;759;669;873;694;687;855;7519;;;;;;;;;;;;;;;;;;;;;;;708;718;678;629;654;586;850;673;671;761;6928;68;65;60;56;105;83;23;21;16;94;591;;;;;;;;;;;;31;19;22;21;25;20;36;26;30;23;253;3.99;2.43;2.98;3.07;3.29;2.99;4.12;3.75;4.37;2.69;3.36;3098;3208;2850;2338;2560;2141;2370;1880;1854;2703;25002
314225 MIRAVANIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314230 MOEDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314240 MOEMA;189808.72;395474.46;325486.78;141485.1;94384.37;144905.54;153772.08;117993.45;89754.91;149710.73;1802776.14;;;;;;;;;;;;86327.69;72158.73;80943.8;77674.09;94384.37;120994.91;123736.87;105568.6;77037.5;109656.72;948483.28;103481.03;323315.73;244542.98;63811.01;;23910.63;30035.21;12424.85;12717.41;40054.01;854292.86;;;;;;;;;;;;407;466;396;272;190;340;336;267;240;329;3243;;;;;;;;;;;;;;;;;;;;;;;214;187;185;160;190;294;277;242;216;257;2222;193;279;211;112;;46;59;25;24;72;1021;;;;;;;;;;;;8;6;6;6;15;14;21;12;8;12;108;1.97;1.29;1.52;2.21;7.89;4.12;6.25;4.49;3.33;3.65;3.33;963;946;913;709;764;957;1125;954;820;1128;9279
314250 MONJOLOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314260 MONSENHOR PAULO;140913.05;117991.19;108617.95;47416.15;148583.42;120738.41;158175.96;123978.17;197321.44;180207.41;1343943.15;;;;;;;;;;;;140913.05;117991.19;108617.95;47416.15;148583.42;120738.41;158175.96;123978.17;190604.68;160451.77;1317470.75;;;;;;;;;6716.76;19755.64;26472.4;;;;;;;;;;;;302;249;241;101;296;223;285;204;331;348;2580;;;;;;;;;;;;;;;;;;;;;;;302;249;241;101;296;223;285;204;319;312;2532;;;;;;;;;12;36;48;;;;;;;;;;;;31;14;15;4;11;14;24;26;34;34;207;10.26;5.62;6.22;3.96;3.72;6.28;8.42;12.75;10.27;9.77;8.02;1314;1117;959;569;1008;1251;1350;1316;1254;1443;11581
